Package_Name,Version,Count,Number of CVEs,List of CVEs,CVE_high,CVE_med,CVE_low
,0.9.8g,4,86,"['CVE-2006-7250', 'CVE-2008-0166', 'CVE-2008-0891', 'CVE-2008-1672', 'CVE-2008-5077', 'CVE-2008-7270', 'CVE-2009-0590', 'CVE-2009-0789', 'CVE-2009-1377', 'CVE-2009-1378', 'CVE-2009-1386', 'CVE-2009-1387', 'CVE-2009-1390', 'CVE-2009-2409', 'CVE-2009-3245', 'CVE-2009-3765', 'CVE-2009-3766', 'CVE-2009-4355', 'CVE-2010-0433', 'CVE-2010-0740', 'CVE-2010-0742', 'CVE-2010-3864', 'CVE-2010-4180', 'CVE-2010-4252', 'CVE-2010-5298', 'CVE-2011-1473', 'CVE-2011-1945', 'CVE-2011-3210', 'CVE-2011-4108', 'CVE-2011-4109', 'CVE-2011-4354', 'CVE-2011-4576', 'CVE-2011-4577', 'CVE-2011-4619', 'CVE-2012-0027', 'CVE-2012-0884', 'CVE-2012-1165', 'CVE-2012-2110', 'CVE-2012-2333', 'CVE-2013-0166', 'CVE-2013-6449', 'CVE-2014-0076', 'CVE-2014-0195', 'CVE-2014-0221', 'CVE-2014-0224', 'CVE-2014-3470', 'CVE-2014-3505', 'CVE-2014-3506', 'CVE-2014-3507', 'CVE-2014-3508', 'CVE-2014-3510', 'CVE-2014-3567', 'CVE-2014-3568', 'CVE-2014-3570', 'CVE-2014-3571', 'CVE-2014-3572', 'CVE-2014-8176', 'CVE-2014-8275', 'CVE-2015-0204', 'CVE-2015-0209', 'CVE-2015-0286', 'CVE-2015-0287', 'CVE-2015-0288', 'CVE-2015-0289', 'CVE-2015-0292', 'CVE-2015-0293', 'CVE-2015-1788', 'CVE-2015-1789', 'CVE-2015-1790', 'CVE-2015-1791', 'CVE-2015-1792', 'CVE-2015-3195', 'CVE-2015-4000', 'CVE-2016-0703', 'CVE-2016-0704', 'CVE-2016-2106', 'CVE-2016-2107', 'CVE-2016-2108', 'CVE-2016-2109', 'CVE-2016-2176', 'CVE-2016-7056', 'CVE-2017-3735', 'CVE-2020-7041', 'CVE-2020-7042', 'CVE-2020-7043', 'CVE-2021-4044']",16,65,5
,1.0.2f,21,53,"['CVE-2009-1390', 'CVE-2009-3765', 'CVE-2009-3766', 'CVE-2016-0702', 'CVE-2016-0705', 'CVE-2016-0797', 'CVE-2016-0798', 'CVE-2016-0799', 'CVE-2016-0800', 'CVE-2016-2105', 'CVE-2016-2106', 'CVE-2016-2107', 'CVE-2016-2109', 'CVE-2016-2176', 'CVE-2016-2177', 'CVE-2016-2178', 'CVE-2016-2179', 'CVE-2016-2180', 'CVE-2016-2181', 'CVE-2016-2182', 'CVE-2016-2183', 'CVE-2016-2842', 'CVE-2016-6302', 'CVE-2016-6303', 'CVE-2016-6304', 'CVE-2016-6306', 'CVE-2016-7055', 'CVE-2016-8610', 'CVE-2017-3731', 'CVE-2017-3732', 'CVE-2017-3735', 'CVE-2017-3736', 'CVE-2017-3737', 'CVE-2017-3738', 'CVE-2018-0737', 'CVE-2018-0739', 'CVE-2018-5407', 'CVE-2019-1547', 'CVE-2019-1551', 'CVE-2019-1552', 'CVE-2019-1559', 'CVE-2019-1563', 'CVE-2020-1968', 'CVE-2021-23840', 'CVE-2021-23841', 'CVE-2021-3712', 'CVE-2021-4160', 'CVE-2022-0778', 'CVE-2022-1292', 'CVE-2022-2068', 'CVE-2022-4304', 'CVE-2023-0215', 'CVE-2023-0286']",19,23,11
,1.0.2d,20,59,"['CVE-2009-1390', 'CVE-2009-3765', 'CVE-2009-3766', 'CVE-2015-1794', 'CVE-2015-3193', 'CVE-2015-3194', 'CVE-2015-3195', 'CVE-2015-3197', 'CVE-2016-0701', 'CVE-2016-0702', 'CVE-2016-0705', 'CVE-2016-0797', 'CVE-2016-0798', 'CVE-2016-0799', 'CVE-2016-0800', 'CVE-2016-2105', 'CVE-2016-2106', 'CVE-2016-2107', 'CVE-2016-2109', 'CVE-2016-2176', 'CVE-2016-2177', 'CVE-2016-2178', 'CVE-2016-2179', 'CVE-2016-2180', 'CVE-2016-2181', 'CVE-2016-2182', 'CVE-2016-2183', 'CVE-2016-2842', 'CVE-2016-6302', 'CVE-2016-6303', 'CVE-2016-6304', 'CVE-2016-6306', 'CVE-2016-7055', 'CVE-2016-8610', 'CVE-2017-3731', 'CVE-2017-3732', 'CVE-2017-3735', 'CVE-2017-3736', 'CVE-2017-3737', 'CVE-2017-3738', 'CVE-2018-0737', 'CVE-2018-0739', 'CVE-2018-5407', 'CVE-2019-1547', 'CVE-2019-1551', 'CVE-2019-1552', 'CVE-2019-1559', 'CVE-2019-1563', 'CVE-2020-1968', 'CVE-2021-23840', 'CVE-2021-23841', 'CVE-2021-3712', 'CVE-2021-4160', 'CVE-2022-0778', 'CVE-2022-1292', 'CVE-2022-2068', 'CVE-2022-4304', 'CVE-2023-0215', 'CVE-2023-0286']",21,26,12
,1.0.1t,3,19,"['CVE-2009-1390', 'CVE-2009-3765', 'CVE-2009-3766', 'CVE-2016-2177', 'CVE-2016-2178', 'CVE-2016-2179', 'CVE-2016-2180', 'CVE-2016-2181', 'CVE-2016-2182', 'CVE-2016-2183', 'CVE-2016-6302', 'CVE-2016-6303', 'CVE-2016-6304', 'CVE-2016-6306', 'CVE-2016-7056', 'CVE-2020-7041', 'CVE-2020-7042', 'CVE-2020-7043', 'CVE-2021-4044']",7,8,4
,0.9.8zc,11,48,"['CVE-2009-1390', 'CVE-2009-3765', 'CVE-2009-3766', 'CVE-2010-4252', 'CVE-2010-5298', 'CVE-2011-1945', 'CVE-2011-4108', 'CVE-2011-4576', 'CVE-2011-4577', 'CVE-2011-4619', 'CVE-2012-0027', 'CVE-2013-6449', 'CVE-2014-0076', 'CVE-2014-3567', 'CVE-2014-3568', 'CVE-2014-3570', 'CVE-2014-3571', 'CVE-2014-3572', 'CVE-2014-8176', 'CVE-2014-8275', 'CVE-2015-0204', 'CVE-2015-0209', 'CVE-2015-0286', 'CVE-2015-0287', 'CVE-2015-0288', 'CVE-2015-0289', 'CVE-2015-0292', 'CVE-2015-0293', 'CVE-2015-1788', 'CVE-2015-1789', 'CVE-2015-1790', 'CVE-2015-1791', 'CVE-2015-1792', 'CVE-2015-3195', 'CVE-2015-4000', 'CVE-2016-0703', 'CVE-2016-0704', 'CVE-2016-2106', 'CVE-2016-2107', 'CVE-2016-2108', 'CVE-2016-2109', 'CVE-2016-2176', 'CVE-2016-7056', 'CVE-2017-3735', 'CVE-2020-7041', 'CVE-2020-7042', 'CVE-2020-7043', 'CVE-2021-4044']",9,34,5
,1.1.1n,3,10,"['CVE-2009-1390', 'CVE-2009-3765', 'CVE-2009-3766', 'CVE-2022-1292', 'CVE-2022-2068', 'CVE-2022-2097', 'CVE-2022-4304', 'CVE-2022-4450', 'CVE-2023-0215', 'CVE-2023-0286']",3,5,2
,1.0.2u,14,15,"['CVE-2009-1390', 'CVE-2009-3765', 'CVE-2009-3766', 'CVE-2020-1968', 'CVE-2021-23839', 'CVE-2021-23840', 'CVE-2021-23841', 'CVE-2021-3712', 'CVE-2021-4160', 'CVE-2022-0778', 'CVE-2022-1292', 'CVE-2022-2068', 'CVE-2022-4304', 'CVE-2023-0215', 'CVE-2023-0286']",5,6,4
,1.1.1k,3,14,"['CVE-2009-1390', 'CVE-2009-3765', 'CVE-2009-3766', 'CVE-2021-3711', 'CVE-2021-3712', 'CVE-2021-4160', 'CVE-2022-0778', 'CVE-2022-1292', 'CVE-2022-2068', 'CVE-2022-2097', 'CVE-2022-4304', 'CVE-2022-4450', 'CVE-2023-0215', 'CVE-2023-0286']",5,6,3
,1.0.0,4,73,"['CVE-2009-1379', 'CVE-2009-1387', 'CVE-2009-1390', 'CVE-2009-3765', 'CVE-2009-3766', 'CVE-2009-4355', 'CVE-2010-0742', 'CVE-2010-1633', 'CVE-2010-3864', 'CVE-2010-4180', 'CVE-2010-4252', 'CVE-2010-5298', 'CVE-2011-0014', 'CVE-2011-1945', 'CVE-2011-3207', 'CVE-2011-3210', 'CVE-2011-4108', 'CVE-2011-4576', 'CVE-2011-4577', 'CVE-2011-4619', 'CVE-2012-0027', 'CVE-2012-0884', 'CVE-2012-1165', 'CVE-2012-2110', 'CVE-2012-2333', 'CVE-2013-0166', 'CVE-2013-6449', 'CVE-2013-6450', 'CVE-2014-0076', 'CVE-2014-0195', 'CVE-2014-0198', 'CVE-2014-0221', 'CVE-2014-0224', 'CVE-2014-3470', 'CVE-2014-3505', 'CVE-2014-3506', 'CVE-2014-3507', 'CVE-2014-3508', 'CVE-2014-3509', 'CVE-2014-3510', 'CVE-2014-3511', 'CVE-2014-3512', 'CVE-2014-3567', 'CVE-2014-3568', 'CVE-2014-8176', 'CVE-2015-0209', 'CVE-2015-0286', 'CVE-2015-0287', 'CVE-2015-0288', 'CVE-2015-0289', 'CVE-2015-0292', 'CVE-2015-0293', 'CVE-2015-1788', 'CVE-2015-1789', 'CVE-2015-1790', 'CVE-2015-1791', 'CVE-2015-1792', 'CVE-2015-3195', 'CVE-2015-3196', 'CVE-2015-4000', 'CVE-2016-0703', 'CVE-2016-0704', 'CVE-2016-2106', 'CVE-2016-2107', 'CVE-2016-2108', 'CVE-2016-2109', 'CVE-2016-2176', 'CVE-2016-7056', 'CVE-2017-3735', 'CVE-2020-7041', 'CVE-2020-7042', 'CVE-2020-7043', 'CVE-2021-4044']",14,54,5
,1.0.2h,2,41,"['CVE-2009-1390', 'CVE-2009-3765', 'CVE-2009-3766', 'CVE-2016-2177', 'CVE-2016-2178', 'CVE-2016-2179', 'CVE-2016-2180', 'CVE-2016-2181', 'CVE-2016-2182', 'CVE-2016-2183', 'CVE-2016-6302', 'CVE-2016-6303', 'CVE-2016-6304', 'CVE-2016-6306', 'CVE-2016-7055', 'CVE-2016-8610', 'CVE-2017-3731', 'CVE-2017-3732', 'CVE-2017-3735', 'CVE-2017-3736', 'CVE-2017-3737', 'CVE-2017-3738', 'CVE-2018-0737', 'CVE-2018-0739', 'CVE-2018-5407', 'CVE-2019-1547', 'CVE-2019-1551', 'CVE-2019-1552', 'CVE-2019-1559', 'CVE-2019-1563', 'CVE-2020-1968', 'CVE-2021-23840', 'CVE-2021-23841', 'CVE-2021-3712', 'CVE-2021-4160', 'CVE-2022-0778', 'CVE-2022-1292', 'CVE-2022-2068', 'CVE-2022-4304', 'CVE-2023-0215', 'CVE-2023-0286']",13,20,8
,0.9.8za,2,48,"['CVE-2009-1390', 'CVE-2009-3765', 'CVE-2009-3766', 'CVE-2010-4252', 'CVE-2010-5298', 'CVE-2011-1945', 'CVE-2011-4108', 'CVE-2011-4576', 'CVE-2011-4577', 'CVE-2011-4619', 'CVE-2012-0027', 'CVE-2013-6449', 'CVE-2014-0076', 'CVE-2014-3567', 'CVE-2014-3568', 'CVE-2014-3570', 'CVE-2014-3571', 'CVE-2014-3572', 'CVE-2014-8176', 'CVE-2014-8275', 'CVE-2015-0204', 'CVE-2015-0209', 'CVE-2015-0286', 'CVE-2015-0287', 'CVE-2015-0288', 'CVE-2015-0289', 'CVE-2015-0292', 'CVE-2015-0293', 'CVE-2015-1788', 'CVE-2015-1789', 'CVE-2015-1790', 'CVE-2015-1791', 'CVE-2015-1792', 'CVE-2015-3195', 'CVE-2015-4000', 'CVE-2016-0703', 'CVE-2016-0704', 'CVE-2016-2106', 'CVE-2016-2107', 'CVE-2016-2108', 'CVE-2016-2109', 'CVE-2016-2176', 'CVE-2016-7056', 'CVE-2017-3735', 'CVE-2020-7041', 'CVE-2020-7042', 'CVE-2020-7043', 'CVE-2021-4044']",9,34,5
,1.1.0g,8,13,"['CVE-2009-1390', 'CVE-2009-3765', 'CVE-2009-3766', 'CVE-2017-3738', 'CVE-2018-0733', 'CVE-2018-0737', 'CVE-2018-0739', 'CVE-2018-5407', 'CVE-2019-1543', 'CVE-2019-1547', 'CVE-2019-1552', 'CVE-2019-1563', 'CVE-2022-0778']",2,9,2
,1.0.2a,14,27,"['CVE-2009-1390', 'CVE-2009-3765', 'CVE-2009-3766', 'CVE-2015-3195', 'CVE-2015-4000', 'CVE-2016-7055', 'CVE-2016-8610', 'CVE-2017-3736', 'CVE-2018-5407', 'CVE-2019-1547', 'CVE-2019-1551', 'CVE-2019-1552', 'CVE-2019-1559', 'CVE-2019-1563', 'CVE-2020-1968', 'CVE-2020-7041', 'CVE-2020-7042', 'CVE-2021-23840', 'CVE-2021-23841', 'CVE-2021-3712', 'CVE-2021-4160', 'CVE-2022-0778', 'CVE-2022-1292', 'CVE-2022-2068', 'CVE-2022-4304', 'CVE-2023-0215', 'CVE-2023-0286']",6,15,6
,1.1.1b,2,23,"['CVE-2009-1390', 'CVE-2009-3765', 'CVE-2009-3766', 'CVE-2019-1543', 'CVE-2019-1547', 'CVE-2019-1549', 'CVE-2019-1551', 'CVE-2019-1552', 'CVE-2019-1563', 'CVE-2021-23840', 'CVE-2021-23841', 'CVE-2021-3449', 'CVE-2021-3711', 'CVE-2021-3712', 'CVE-2021-4160', 'CVE-2022-0778', 'CVE-2022-1292', 'CVE-2022-2068', 'CVE-2022-2097', 'CVE-2022-4304', 'CVE-2022-4450', 'CVE-2023-0215', 'CVE-2023-0286']",7,11,5
,1.0.2l,3,26,"['CVE-2009-1390', 'CVE-2009-3765', 'CVE-2009-3766', 'CVE-2017-3735', 'CVE-2017-3736', 'CVE-2017-3737', 'CVE-2017-3738', 'CVE-2018-0737', 'CVE-2018-0739', 'CVE-2018-5407', 'CVE-2019-1547', 'CVE-2019-1551', 'CVE-2019-1552', 'CVE-2019-1559', 'CVE-2019-1563', 'CVE-2020-1968', 'CVE-2021-23840', 'CVE-2021-23841', 'CVE-2021-3712', 'CVE-2021-4160', 'CVE-2022-0778', 'CVE-2022-1292', 'CVE-2022-2068', 'CVE-2022-4304', 'CVE-2023-0215', 'CVE-2023-0286']",5,16,5
,1.1.0e,3,15,"['CVE-2009-1390', 'CVE-2009-3765', 'CVE-2009-3766', 'CVE-2017-3735', 'CVE-2017-3736', 'CVE-2017-3738', 'CVE-2018-0733', 'CVE-2018-0737', 'CVE-2018-0739', 'CVE-2018-5407', 'CVE-2019-1543', 'CVE-2019-1547', 'CVE-2019-1552', 'CVE-2019-1563', 'CVE-2022-0778']",2,11,2
,0.9.7f,2,79,"['CVE-2005-2946', 'CVE-2005-2969', 'CVE-2006-2937', 'CVE-2006-2940', 'CVE-2006-3738', 'CVE-2006-4339', 'CVE-2006-4343', 'CVE-2006-7250', 'CVE-2007-3108', 'CVE-2007-5135', 'CVE-2008-5077', 'CVE-2008-7270', 'CVE-2009-0590', 'CVE-2009-0789', 'CVE-2009-1377', 'CVE-2009-1378', 'CVE-2009-1386', 'CVE-2009-1387', 'CVE-2009-1390', 'CVE-2009-3245', 'CVE-2009-3765', 'CVE-2009-3766', 'CVE-2009-4355', 'CVE-2010-0433', 'CVE-2010-0742', 'CVE-2010-4180', 'CVE-2010-4252', 'CVE-2010-5298', 'CVE-2011-1473', 'CVE-2011-1945', 'CVE-2011-4108', 'CVE-2011-4354', 'CVE-2011-4576', 'CVE-2011-4577', 'CVE-2011-4619', 'CVE-2012-0027', 'CVE-2012-0884', 'CVE-2012-1165', 'CVE-2012-2110', 'CVE-2012-2333', 'CVE-2013-0166', 'CVE-2013-6449', 'CVE-2014-0076', 'CVE-2014-0224', 'CVE-2014-3470', 'CVE-2014-3567', 'CVE-2014-3568', 'CVE-2014-3570', 'CVE-2014-3571', 'CVE-2014-3572', 'CVE-2014-8176', 'CVE-2014-8275', 'CVE-2015-0204', 'CVE-2015-0209', 'CVE-2015-0286', 'CVE-2015-0287', 'CVE-2015-0288', 'CVE-2015-0289', 'CVE-2015-0292', 'CVE-2015-0293', 'CVE-2015-1788', 'CVE-2015-1789', 'CVE-2015-1790', 'CVE-2015-1791', 'CVE-2015-1792', 'CVE-2015-3195', 'CVE-2015-4000', 'CVE-2016-0703', 'CVE-2016-0704', 'CVE-2016-2106', 'CVE-2016-2107', 'CVE-2016-2108', 'CVE-2016-2109', 'CVE-2016-2176', 'CVE-2016-7056', 'CVE-2020-7041', 'CVE-2020-7042', 'CVE-2020-7043', 'CVE-2021-4044']",16,57,6
,1.0.2n,3,22,"['CVE-2009-1390', 'CVE-2009-3765', 'CVE-2009-3766', 'CVE-2018-0737', 'CVE-2018-0739', 'CVE-2018-5407', 'CVE-2019-1547', 'CVE-2019-1551', 'CVE-2019-1552', 'CVE-2019-1559', 'CVE-2019-1563', 'CVE-2020-1968', 'CVE-2021-23840', 'CVE-2021-23841', 'CVE-2021-3712', 'CVE-2021-4160', 'CVE-2022-0778', 'CVE-2022-1292', 'CVE-2022-2068', 'CVE-2022-4304', 'CVE-2023-0215', 'CVE-2023-0286']",5,12,5
,1.1.1i,2,18,"['CVE-2009-1390', 'CVE-2009-3765', 'CVE-2009-3766', 'CVE-2021-23840', 'CVE-2021-23841', 'CVE-2021-3449', 'CVE-2021-3450', 'CVE-2021-3711', 'CVE-2021-3712', 'CVE-2021-4160', 'CVE-2022-0778', 'CVE-2022-1292', 'CVE-2022-2068', 'CVE-2022-2097', 'CVE-2022-4304', 'CVE-2022-4450', 'CVE-2023-0215', 'CVE-2023-0286']",7,8,3
,1.0.1e,2,82,"['CVE-2009-1390', 'CVE-2009-3765', 'CVE-2009-3766', 'CVE-2010-5298', 'CVE-2013-4353', 'CVE-2013-6449', 'CVE-2013-6450', 'CVE-2014-0160', 'CVE-2014-0195', 'CVE-2014-0198', 'CVE-2014-0221', 'CVE-2014-0224', 'CVE-2014-3470', 'CVE-2014-3505', 'CVE-2014-3506', 'CVE-2014-3507', 'CVE-2014-3508', 'CVE-2014-3509', 'CVE-2014-3510', 'CVE-2014-3511', 'CVE-2014-3512', 'CVE-2014-3513', 'CVE-2014-3567', 'CVE-2014-3568', 'CVE-2014-3570', 'CVE-2014-3571', 'CVE-2014-3572', 'CVE-2014-5139', 'CVE-2014-8176', 'CVE-2014-8275', 'CVE-2015-0204', 'CVE-2015-0205', 'CVE-2015-0206', 'CVE-2015-0209', 'CVE-2015-0286', 'CVE-2015-0287', 'CVE-2015-0288', 'CVE-2015-0289', 'CVE-2015-0292', 'CVE-2015-0293', 'CVE-2015-1788', 'CVE-2015-1789', 'CVE-2015-1790', 'CVE-2015-1791', 'CVE-2015-1792', 'CVE-2015-3194', 'CVE-2015-3195', 'CVE-2015-3196', 'CVE-2015-3197', 'CVE-2015-4000', 'CVE-2016-0702', 'CVE-2016-0703', 'CVE-2016-0704', 'CVE-2016-0705', 'CVE-2016-0797', 'CVE-2016-0798', 'CVE-2016-0799', 'CVE-2016-0800', 'CVE-2016-2105', 'CVE-2016-2106', 'CVE-2016-2107', 'CVE-2016-2108', 'CVE-2016-2109', 'CVE-2016-2176', 'CVE-2016-2177', 'CVE-2016-2178', 'CVE-2016-2179', 'CVE-2016-2180', 'CVE-2016-2181', 'CVE-2016-2182', 'CVE-2016-2183', 'CVE-2016-2842', 'CVE-2016-6302', 'CVE-2016-6303', 'CVE-2016-6304', 'CVE-2016-6306', 'CVE-2016-7056', 'CVE-2017-3735', 'CVE-2020-7041', 'CVE-2020-7042', 'CVE-2020-7043', 'CVE-2021-4044']",22,51,9
libexpat,,,,,,,
,2.0.1,22,3,"['CVE-2012-1147', 'CVE-2012-1148', 'CVE-2013-0340']",0,3,0
,2.1.0,3,1,['CVE-2013-0340'],0,1,0
point-to-point_protocol,,,,,,,
,2.4.4,10,4,"['CVE-2006-2194', 'CVE-2014-3158', 'CVE-2015-3310', 'CVE-2020-8597']",2,1,1
,2.4.5,27,3,"['CVE-2014-3158', 'CVE-2015-3310', 'CVE-2020-8597']",1,1,1
,2.4.8,3,1,['CVE-2020-8597'],0,0,1
,2.4.1,6,5,"['CVE-2004-1002', 'CVE-2004-2695', 'CVE-2006-2194', 'CVE-2014-3158', 'CVE-2015-3310']",3,2,0
,2.4.6,2,3,"['CVE-2014-3158', 'CVE-2015-3310', 'CVE-2020-8597']",1,1,1
,2.4.3,27,4,"['CVE-2006-2194', 'CVE-2014-3158', 'CVE-2015-3310', 'CVE-2020-8597']",2,1,1
ntp,,,,,,,
,4.2.4p7,3,50,"['CVE-2014-9294', 'CVE-2014-9295', 'CVE-2014-9296', 'CVE-2014-9751', 'CVE-2015-5194', 'CVE-2015-5195', 'CVE-2015-5219', 'CVE-2015-5300', 'CVE-2015-7691', 'CVE-2015-7692', 'CVE-2015-7701', 'CVE-2015-7702', 'CVE-2015-7703', 'CVE-2015-7704', 'CVE-2015-7705', 'CVE-2015-7849', 'CVE-2015-7850', 'CVE-2015-7851', 'CVE-2015-7852', 'CVE-2015-7853', 'CVE-2015-7854', 'CVE-2015-7855', 'CVE-2015-7973', 'CVE-2015-7975', 'CVE-2015-7976', 'CVE-2015-7977', 'CVE-2015-7978', 'CVE-2015-7979', 'CVE-2015-8138', 'CVE-2015-8139', 'CVE-2015-8140', 'CVE-2015-8158', 'CVE-2016-1547', 'CVE-2016-2516', 'CVE-2016-2517', 'CVE-2016-2518', 'CVE-2016-2519', 'CVE-2016-4953', 'CVE-2016-4954', 'CVE-2016-4955', 'CVE-2016-4956', 'CVE-2016-7429', 'CVE-2016-7433', 'CVE-2016-9310', 'CVE-2016-9311', 'CVE-2016-9312', 'CVE-2017-6458', 'CVE-2018-7170', 'CVE-2019-8936', 'CVE-2020-13817']",21,26,3
dnsmasq,,,,,,,
